SKU,title,description,price,image_link,Quantity
14AWGR-200,"Cable eléctrico Silicona Flexible 14 AWG (Rojo) 200 Metros",,"159,9",,
14AWGN-200,"Cable eléctrico Silicona Flexible 14 AWG (Negro) 200 Metros",,"159,9",,
12AWGR-100,"Cable eléctrico Silicona Flexible 12 AWG (Rojo) 100 Metros",,"239,9",,0
12AWGN-100,"Cable eléctrico Silicona Flexible 12 AWG (Negro) 100 Metros",,"239,9",,0
EE-M41-022,"Controladora Ecoxtrem Armored One (Single Motor) Modelo:CH12K2-2",,85.9,"https://emovedistribution.com/wp-content/uploads/2026/08/ee-m41-0223.jpeg,https://emovedistribution.com/wp-content/uploads/2026/08/ee-m41-0222.jpeg",100
ECOXTREM-DEIMOS-DGT-MORADO,"Patinete Eléctrico Ecoxtrem Deimos DGT - Morado","Color  Gris      Potencia  500W nominal / 1000W pico      Autonomía  Hasta 40 km      Batería  48V 15Ah      Peso  25 kg      Velocidad máxima  45 km/h      Deslimitación  Desde la aplicación      Altavoz  Bluetooth incluido      Neumáticos  10 pulgadas","528,9",,100
ECOXTREM-DEIMOS-DGT-VERDE-NEGRO,"Patinete Eléctrico Ecoxtrem Deimos DGT – Verde",,544.90,,100
ECOXTREM-DEIMOS-DGT-NEGRO,"Patinete Eléctrico Ecoxtrem Deimos DGT - Negro",,544.90,,100
REL-012-M83PIN,"Cable M8 de 3 pines",,2.9,https://emovedistribution.com/wp-content/uploads/2026/08/Photoroom_20260821_135314.jpeg,100
ECOXTREM-DEIMOS-DUAL-DGT-NEGRO-ROJO,"Patinete Eléctrico Ecoxtrem Deimos Dual DGT - Negro Rojo","Patinete eléctrico homologado por la DGT con doble motor 500W + 500W, batería 48V 20Ah, suspensión completa, doble freno de disco y hasta 60 km de autonomía orientativa. Color Negro Rojo.",704.9,,100
REL-013-LIMIM41B,"Mando deslimitador / limitador Ecoxtrem Armored / M41 Tank","Mando limitador para Ecoxtrem Armored Dual, Armored One, M41 Tank, M41 Tank Dual. Regular el potienciómetro a la velocidad deseada antes de instalar",51.9,"https://emovedistribution.com/wp-content/uploads/2026/07/rel013b.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/B149DC51-D6A9-4B50-8045-2740A80AA39A.jpeg",100
REL-012-M63PIN,"Cable M6 extensor de 3 pines",,5.9,https://emovedistribution.com/wp-content/uploads/2026/08/REL-012-4.jpeg,100
REL-012-M62PIN,"Cable M6 extensor de 2 pines",,5.9,https://emovedistribution.com/wp-content/uploads/2026/08/REL-012-2.jpeg,100
RMR-108-ELITE-B,"Guardabarros trasero para patinete Xiaomi Elite Con tara",,16.9,https://emovedistribution.com/wp-content/uploads/2026/08/RMR-108-ELITE-B2.jpeg,100
FR-PA-OT824,"Pastilla de freno OT824",,9.9,"https://emovedistribution.com/wp-content/uploads/2026/08/FR-PA-OT8242.jpeg,https://emovedistribution.com/wp-content/uploads/2026/08/FR-PA-OT8246.jpeg",100
H-047-GX16-Juliet,"Cable convertidor GX16 a Juliet de 3 pines",,9.9,https://emovedistribution.com/wp-content/uploads/2026/08/tamano.jpeg,100
ECOXTREM-ARMORED-DUAL-ROJO,"Ecoxtrem Armored Dual Long Range - DGT Homologado 2026 (Rojo)","Nueva versión con chapa DGT específica para Ecoxtrem M41 Armored Long Range.    El Ecoxtrem M41 Armored Dual 2026 destaca por su batería de 60V 24Ah (65 kilómetros de autonomía), gran potencia y aceleración punta con sun dos motores 1000W + 1000W, frenos hidráulicos de marca Nutt, arranque con llave NFC, suspensión invertida de largo recorrido y ruedas tubeless de 11”.",899,,100
ECOXTREM-ARMORED-DUAL-AZUL,"Ecoxtrem Armored Dual Long Range - DGT Homologado 2026 (Azul)","Nueva versión con chapa DGT específica para Ecoxtrem M41 Armored Long Range.    El Ecoxtrem M41 Armored Dual 2026 destaca por su batería de 60V 24Ah (65 kilómetros de autonomía), gran potencia y aceleración punta con sun dos motores 1000W + 1000W, frenos hidráulicos de marca Nutt, arranque con llave NFC, suspensión invertida de largo recorrido y ruedas tubeless de 11”.",899,,100
RRCU-003,"Rueda Cubierta 8,5x2-6,1 tubetype - (Goma blanda)","Calidad premium (goma blanda).    A diferencia del modelo Wanda este neumático se ha fabricado con caucho más blando y exclusivamente a medida para Xiaomi, facilitando la instalación del neumático en la llanta sin perder durabilidad del neumático.","9,90",https://emovedistribution.com/wp-content/uploads/2021/02/rrcu-003-emove-nuevo.jpg,100
RME-016-Rojo,"Damper Amortiguador de Dirección Color Rojo + adaptador (Adaptable a Ecoxtrem Armored, Kukirin, etc)",,56.90,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260607_160137.jpg,0
RME-016-Fibra,"Damper Amortiguador de Dirección Color Fibra Carbono + adaptador (Adaptable a Ecoxtrem Armored, Kukirin, etc)",,68.9,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260607_160003.jpg,
RRCU-041-AX,"Rueda cubierta Offroad 10x2,75-6,5 Tubeless",,16.90,https://emovedistribution.com/wp-content/uploads/2026/05/尺寸.jpg,0
A-002G-ROJO,"Soporte Movil Basic Rojo",,8.9,https://emovedistribution.com/wp-content/uploads/2026/07/A-002G4.jpeg,100
